Interest,Skills,Grades,Degree
Digital Journalism,Online Reporting,89,Bachelor of Arts in Mass Communication
Rural Sociology,Community Development,86,Bachelor of Arts in Sociology
Juvenile Justice,Youth Rehabilitation,88,Bachelor of Arts in Criminology
Front-end Development,User Interface Design,92,Bachelor of Science in Computer Science
Database Administration,SQL Programming,88,Bachelor of Science in Computer Science
Orthopedic Surgery,Orthopedic Trauma Surgery,95,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Supply Chain Optimization,Logistics Management,85,Bachelor of Business Administration
Soil Science,Soil Conservation,87,Bachelor of Science in Agriculture
Water Resource Management,Environmental Impact Assessment,91,Bachelor of Engineering in Civil Engineering
Machine Learning,Deep Reinforcement Learning,95,Bachelor of Science in Computer Science
Social Media Advertising,Content Strategy,88,Bachelor of Business Administration
Organizational Behavior,Leadership Development,89,Bachelor of Business Administration
Digital Marketing,Search Engine Optimization,87,Bachelor of Business Administration
International Trade Law,International Business Law,86,Bachelor of Laws (LLB)
Digital Sculpture,3D Modeling,88,Bachelor of Fine Arts
Broadcast Production,Television Directing,90,Bachelor of Arts in Mass Communication
Urban Sociology,Community Planning,87,Bachelor of Arts in Sociology
Criminal Profiling,Forensic Psychology,89,Bachelor of Arts in Criminology
Machine Learning,Data Science,91,Bachelor of Science in Computer Science
Network Security,Ethical Hacking,88,Bachelor of Science in Computer Science
,,,
Business Strategy,Market Research,87,Bachelor of Business Administration
Crop Science,Plant Breeding,90,Bachelor of Science in Agriculture
Structural Engineering,Construction Management,92,Bachelor of Engineering in Civil Engineering
Artificial Intelligence,Computer Vision,95,Bachelor of Science in Computer Science
Market Analysis,Consumer Behavior,89,Bachelor of Business Administration
Cognitive Psychology,Behavioral Analysis,91,Bachelor of Arts in Psychology
Social Media Marketing,Influencer Marketing,89,Bachelor of Business Administration
Financial Analysis,Investment Strategies,87,Bachelor of Business Administration
International Law,Human Rights Law,86,Bachelor of Laws (LLB)
Digital Art,Concept Design,88,Bachelor of Fine Arts
Media Production,Film Editing,90,Bachelor of Arts in Mass Communication
Urban Planning,Sustainable Development,87,Bachelor of Arts in Sociology
Criminal Justice,Forensic Science,89,Bachelor of Arts in Criminology
Software Development,Algorithm Design,92,Bachelor of Science in Computer Science
Database Management,Data Warehousing,88,Bachelor of Science in Computer Science
Plastic Surgery,Cosmetic Surgery,94,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Supply Chain Management,Inventory Management,85,Bachelor of Business Administration
Agricultural Economics,Rural Development,87,Bachelor of Science in Agriculture
Environmental Engineering,Water Treatment,91,Bachelor of Engineering in Civil Engineering
Machine Learning,Artificial Neural Networks,95,Bachelor of Science in Computer Science
Digital Marketing,Content Creation,89,Bachelor of Business Administration
Organizational Psychology,Employee Training,90,Bachelor of Arts in Psychology
Search Engine Optimization,PPC Advertising,88,Bachelor of Business Administration
Sales Management,Strategic Sales Planning,86,Bachelor of Business Administration
International Law,Public International Law,85,Bachelor of Laws (LLB)
Digital Illustration,Storyboarding,88,Bachelor of Fine Arts
Broadcast Journalism,Documentary Production,90,Bachelor of Arts in Mass Communication
Social Development,Community Engagement,87,Bachelor of Arts in Sociology
Criminal Profiling,Psychological Profiling,89,Bachelor of Arts in Criminology
Cybersecurity,Incident Response,88,Bachelor of Science in Computer Science
Digital Marketing,Email Marketing,90,Bachelor of Business Administration
Pediatric Surgery,Neonatal Surgery,92,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Corporate Finance,Financial Modeling,86,Bachelor of Business Administration
Plant Genetics,Genetic Engineering,89,Bachelor of Science in Agriculture
Geotechnical Engineering,Geological Mapping,91,Bachelor of Engineering in Civil Engineering
Machine Learning,Reinforcement Learning,94,Bachelor of Science in Computer Science
Market Research,Data Analysis,87,Bachelor of Business Administration
Developmental Psychology,Child Therapy,89,Bachelor of Arts in Psychology
Social Media Management,Content Strategy,91,Bachelor of Business Administration
Financial Planning,Wealth Management,87,Bachelor of Business Administration
International Law,Commercial Law,85,Bachelor of Laws (LLB)
Digital Art,Character Design,89,Bachelor of Fine Arts
Media Production,Scriptwriting,91,Bachelor of Arts in Mass Communication
Urban Planning,Transportation Planning,88,Bachelor of Arts in Sociology
Criminal Justice,Crime Analysis,90,Bachelor of Arts in Criminology
Software Engineering,Software Architecture,93,Bachelor of Science in Computer Science
Database Management,Data Security,89,Bachelor of Science in Computer Science
Orthopedic Surgery,Spinal Surgery,95,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Logistics Management,Supply Chain Optimization,86,Bachelor of Business Administration
Agricultural Economics,Agribusiness Management,88,Bachelor of Science in Agriculture
Water Resources Management,Hydrology,90,Bachelor of Engineering in Civil Engineering
Machine Learning,Deep Learning,95,Bachelor of Science in Computer Science
Social Media Marketing,Content Creation,89,Bachelor of Business Administration
Organizational Behavior,Change Management,90,Bachelor of Business Administration
Search Engine Optimization,SEO Strategy,88,Bachelor of Business Administration
Sales Management,Channel Management,86,Bachelor of Business Administration
International Law,Humanitarian Law,85,Bachelor of Laws (LLB)
Digital Illustration,Character Animation,89,Bachelor of Fine Arts
Broadcast Journalism,Video Production,91,Bachelor of Arts in Mass Communication
Community Development,Community Outreach,88,Bachelor of Arts in Sociology
Criminal Profiling,Behavioral Analysis,90,Bachelor of Arts in Criminology
Structural Analysis,Construction Engineering,86,Bachelor of Engineering in Civil Engineering
Artificial Intelligence,Machine Learning,87,Bachelor of Science in Computer Science
Pediatric Surgery,Neonatal Surgery,92,Bachelor of Medicine and Bachelor of Surgery (MBBS)
International Law,Public International Law,85,Bachelor of Laws (LLB)
Digital Illustration,3D Modeling,66,Bachelor of Fine Arts
Broadcast Journalism,Documentary Production,54,Bachelor of Arts in Mass Communication
Social Development,Community Engagement,87,Bachelor of Arts in Sociology
Criminal Profiling,Psychological Profiling,64,Bachelor of Arts in Criminology
Digital Painting,Concept Art,87,Bachelor of Fine Arts
Digital Journalism,Online Reporting,89,Bachelor of Arts in Mass Communication
Rural Sociology,Community Development,86,Bachelor of Arts in Sociology
Juvenile Justice,Youth Rehabilitation,88,Bachelor of Arts in Criminology
Front-end Development,User Interface Design,92,Bachelor of Science in Computer Science
Database Administration,SQL Programming,88,Bachelor of Science in Computer Science
Orthopedic Surgery,Orthopedic Trauma Surgery,95,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Civil Engineering,Structural Design,85,Bachelor of Engineering in Civil Engineering
Artificial Intelligence,Machine Learning,86,Bachelor of Science in Computer Science
Plastic Surgery,Biology Research ,93,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Orthopedic Surgery,Biology Research ,96,Bachelor of Medicine and Bachelor of Surgery (MBBS)
International Law,Public International Law,80,Bachelor of Laws (LLB)
Digital Art,Graphic Design,84,Bachelor of Fine Arts
Media Production,Video Production,86,Bachelor of Arts in Mass Communication
Urban Planning,Community Engagement ,69,Bachelor of Arts in Sociology
Criminal Justice Reform,Phycological Profiling ,87,Bachelor of Arts in Criminology
Game Design,Game Programming,83,Bachelor of Science in Computer Science
Database Management,Database Administration,71,Bachelor of Science in Computer Science
Plastic Surgery,Biology Research ,88,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Operations Management,Logistics Management,70,Bachelor of Business Administration
///,,,
Water Resources Management,Hydrological Modeling,65,Bachelor of Engineering in Civil Engineering
Artificial Intelligence,Machine Learning Algorithms,87,Bachelor of Science in Computer Science
Crop Science,,80,Bachelor of Science in Agriculture
Civil Engineering,Structural Design,68,Bachelor of Engineering in Civil Engineering
Artificial Intelligence,Android Development ,69,Bachelor of Science in Computer Science
Marketing Research,Data Analytics,59,Bachelor of Business Administration
Cognitive Psychology,Memory Research,62,Bachelor of Arts in Psychology
Social Media Marketing,Influencer Marketing,85,Bachelor of Business Administration
Financial Analysis,Logistics Management ,82,Bachelor of Business Administration
International Business Law,Trade Law,77,Bachelor of Laws (LLB)
Digital Art,Animation,69,Bachelor of Fine Arts
Media Production,Film Editing,86,Bachelor of Arts in Mass Communication
Urban Planning,Social Planning,84,Bachelor of Arts in Sociology
Crime Prevention,Security Management,87,Bachelor of Arts in Criminology
Game Design,Game Programming,83,Bachelor of Science in Computer Science
Database Management,Android Development ,84,Bachelor of Science in Computer Science
Intellectual Property Law,Public International Law,80,Bachelor of Laws (LLB)
Photography,Animation ,84,Bachelor of Fine Arts
Media Ethics,Media Literacy,67,Bachelor of Arts in Mass Communication
Social Stratification,Gender Studies,87,Bachelor of Arts in Sociology
Criminal Justice Reform,Physiological Profiling ,87,Bachelor of Arts in Criminology
Game Design,Game Programming,83,Bachelor of Science in Computer Science
Database Management,Android Development ,84,Bachelor of Science in Computer Science
Plastic Surgery,Biology Research ,88,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Operations Management,Logistics Management,68,Bachelor of Business Administration
Plant Breeding,Genetic Engineering,81,Bachelor of Science in Agriculture
Structural Engineering,Transportation Engineering,86,Bachelor of Engineering in Civil Engineering
Deep Learning,Neural Networks,87,Bachelor of Science in Computer Science
Content Marketing,Logistics Management ,85,Bachelor of Business Administration
Graphic Design,Typography,84,Bachelor of Fine Arts
Journalism Ethics,Media Law,86,Bachelor of Arts in Mass Communication
Social Policy Analysis,Public Administration,56,Bachelor of Arts in Sociology
Criminal Procedure,Forensic Psychology,85,Bachelor of Arts in Criminology
Computer Graphics,Android Development ,83,Bachelor of Science in Computer Science
Database Management,System Administration,84,Bachelor of Science in Computer Science
Plastic Surgery,Body Analysis ,91,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Plastic Surgery,Body Analysis ,88,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Plastic Surgery,Temperature Check ,88,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Intellectual Property Law,Contract Law,51,Bachelor of Laws (LLB)
Intellectual Property Law,International Criminal Law,80,Bachelor of Laws (LLB)
Intellectual Property Law,International Criminal Law,55,Bachelor of Laws (LLB)
Intellectual Property Law,International Criminal Law,90,Bachelor of Laws (LLB)
Artificial Intelligence,Android Development ,87,Bachelor of Science in Computer Science
Digital Advertising,Logistics Management ,85,Bachelor of Business Administration
Clinical Psychology,Psychological Assessment,64,Bachelor of Arts in Psychology
Social Media Strategy,Content Planning,81,Bachelor of Business Administration
Supply Chain Management,Inventory Control,71,Bachelor of Business Administration
Agronomy,Soil Conservation,80,Bachelor of Science in Agriculture
Civil Engineering,Transportation Engineering,92,Bachelor of Engineering in Civil Engineering
Machine Learning,Data Analysis,86,Bachelor of Science in Computer Science
Marketing Strategy,Market Analysis,84,Bachelor of Business Administration
Child Development,Mind Read ,87,Bachelor of Arts in Psychology
Animal Science,Livestock Management,81,Bachelor of Science in Agriculture
Structural Analysis,Construction Engineering,86,Bachelor of Engineering in Civil Engineering
Artificial Intelligence,Machine Learning,87,Bachelor of Science in Computer Science
Investment Banking,Financial Planning,85,Bachelor of Business Administration
Industrial Psychology,Organizational Behavior,88,Bachelor of Arts in Psychology
Digital Marketing Strategy,Content Strategy,57,Bachelor of Business Administration
Customer Relationship Management,Brand Management,72,Bachelor of Business Administration
International Humanitarian Law,International Criminal Law,81,Bachelor of Laws (LLB)
Animation,3D Modeling,84,Bachelor of Fine Arts
Multimedia Journalism,Podcasting,87,Bachelor of Arts in Mass Communication
Social Movements,Social Change,85,Bachelor of Arts in Sociology
Environmental Engineering,Transportation Engineering ,85,Bachelor of Engineering in Civil Engineering
Machine Learning,Deep Learning,86,Bachelor of Science in Computer Science
Market Research,Marketing Analytics ,84,Bachelor of Business Administration
Cognitive Psychology,Cognitive Neuroscience,87,Bachelor of Arts in Psychology
Social Media Marketing,Marketing Analytics ,85,Bachelor of Business Administration
Financial Planning,Marketing Analytics ,82,Bachelor of Business Administration
International Law,Public International Law,80,Bachelor of Laws (LLB)
Digital Art,Graphic Design,64,Bachelor of Fine Arts
Media Production,Video Production,86,Bachelor of Arts in Mass Communication
Urban Planning,Social Change,84,Bachelor of Arts in Sociology
Criminal Justice Reform,Victim Advocacy,76,Bachelor of Arts in Criminology
Game Design,Game Programming,59,Bachelor of Science in Computer Science
Intellectual Property Law,International Criminal Law ,80,Bachelor of Laws (LLB)
Photography,3D Modelling ,84,Bachelor of Fine Arts
Media Ethics,Media Literacy,86,Bachelor of Arts in Mass Communication
Social Stratification,Gender Studies,74,Bachelor of Arts in Sociology
Criminal Justice Reform,Forensic Psychology ,87,Bachelor of Arts in Criminology
Game Design,Game Programming,71,Bachelor of Science in Computer Science
Database Management,System Administration,84,Bachelor of Science in Computer Science
Plastic Surgery,Temperature Check ,95,Bachelor of Medicine and Bachelor of Surgery (MBBS)
Operations Management,Logistics Management,79,Bachelor of Business Administration
Plant Breeding,Plant Breeding,81,Bachelor of Science in Agriculture
Structural Engineering,Transportation Engineering,86,Bachelor of Engineering in Civil Engineering
Network Security,Android Development,87,Bachelor of Science in Computer Science
Content Marketing,Social Media Advertising,85,Bachelor of Business Administration
Industrial-Organizational Psychology,Mind Read,58,Bachelor of Arts in Psychology
Digital Strategy,Marketing Analytics,86,Bachelor of Business Administration
Artificial Intelligence,Andriod Development,87,Bachelor of Science in Computer Science
Organizational Behavior,Employee Relations,88,Bachelor of Arts in Psychology
International Law,International Criminal Law,72,Bachelor of Laws (LLB)
Digital Illustration,3D Modeling,66,Bachelor of Fine Arts
Broadcast Journalism,podcasting,87,Bachelor of Arts in Mass Communication
Urban Sociology,Gender Studies,62,Bachelor of Arts in Sociology
Criminal Psychology,Criminal Behavior Analysis,88,Bachelor of Arts in Criminology
Mobile App Development,Android Development,77,Bachelor of Science in Computer Science
Network Security,Android Development67,71,Bachelor of Science in Computer Science
